order_id,customer_name,product,quantity,unit_price,order_date,region,total_price,price_category
101,Alice,Laptop,2,900.0,2024-05-09,Central,1800.0,Premium
102,Unknown,Laptop,1,300.0,2024-05-07,Central,300.0,Low-cost
103,Unknown,Laptop,1,600.0,2024-05-04,Central,600.0,Low-cost
104,Unknown,Tablet,2,300.0,2024-05-26,Central,600.0,Low-cost
105,Heidi,Tablet,2,600.0,2024-05-21,North,1200.0,Low-cost
106,Unknown,Laptop,2,600.0,2024-05-18,Central,1200.0,Low-cost
107,Unknown,Tablet,1,600.0,2024-05-13,Central,600.0,Low-cost
108,Unknown,Laptop,2,600.0,2024-05-11,Central,1200.0,Low-cost
109,Grace,Laptop,2,600.0,2024-05-29,Central,1200.0,Low-cost
110,Heidi,Phone,2,900.0,2024-05-24,Central,1800.0,Premium
